"Gene" "GATAdSY" "GATAdNS" "CG11504SY" "CG11504NS" "Cf2.IISY" "Cf2.IINS" "jimSY" "jimNS" "MitfSY" "MitfNS" "CG5953SY" "CG5953NS" "MadSY" "MadNS" "TrlSY" "TrlNS" "CG3407SY" "CG3407NS" "CG12236.PBSY" "CG12236.PBNS" "HLHmbetaSY" "HLHmbetaNS" "jigr1SY" "jigr1NS" "Deaf1SY" "Deaf1NS" "MedSY" "MedNS" "lolaSY" "lolaNS" "HgtxSY" "HgtxNS" "MetSY" "MetNS" "Aef1SY" "Aef1NS" "netSY" "netNS" "CG3838SY" "CG3838NS" "ExdSY" "ExdNS" "ttk.PFSY" "ttk.PFNS" "CG15601SY" "CG15601NS" "Lag1SY" "Lag1NS" "aseSY" "aseNS" "atoSY" "atoNS" "D19ASY" "D19ANS" "srpSY" "srpNS" "ftz.f1SY" "ftz.f1NS" "brSY" "brNS" "ClkSY" "ClkNS" "lunaSY" "lunaNS" "brkSY" "brkNS" "catoSY" "catoNS" "tgoSY" "tgoNS" "Hr78SY" "Hr78NS" "HandSY" "HandNS" "Fer3SY" "Fer3NS" "AchiSY" "AchiNS" "br.Z4SY" "br.Z4NS" "pnrSY" "pnrNS" "br.Z2SY" "br.Z2NS" "CG9437SY" "CG9437NS" "br.Z1SY" "br.Z1NS" "Eip74EFSY" "Eip74EFNS" "OliSY" "OliNS" "Xrp1SY" "Xrp1NS" "deiSY" "deiNS" "zSY" "zNS" "CtSY" "CtNS" "MioSY" "MioNS" "apSY" "apNS" "EcRSY" "EcRNS" "br.PLSY" "br.PLNS" "lola.PASY" "lola.PANS" "lola.PCSY" "lola.PCNS" "lola.PDSY" "lola.PDNS" "foxoSY" "foxoNS" "Cf2.PASY" "Cf2.PANS" "MaxSY" "MaxNS" "lola.PJSY" "lola.PJNS" "lola.PLSY" "lola.PLNS" "br.PASY" "br.PANS" "lola.POSY" "lola.PONS" "lola.PQSY" "lola.PQNS" "lola.PTSY" "lola.PTNS" "lola.PUSY" "lola.PUNS" "lola.PWSY" "lola.PWNS" "lola.PYSY" "lola.PYNS" "panSY" "panNS" "sqzSY" "sqzNS" "Adf1SY" "Adf1NS" "br.Z3SY" "br.Z3NS" "l.1.scSY" "l.1.scNS" "Cf2.PBSY" "Cf2.PBNS" "kaySY" "kayNS" "CG11294SY" "CG11294NS" "exdSY" "exdNS" "lola.PGSY" "lola.PGNS" "ApSY" "ApNS" "scSY" "scNS" "sdSY" "sdNS" "Length" "Set"
"444" "CG9286" 0 0 0 0 4 0 3 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 2 0 1 1 0 0 6 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 1 1 8 0 0 0 1 3 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 0 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 1 1 5 1 2 1 2 1 0 0 0 0 1 "RNAseq"
"445" "CG9300" 0 0 0 0 0.667 0 0 0 0.667 0 0 0 0 0 0.333 0 0 0 0.667 0.333 0.667 0 0 0 4.333 0.667 0.333 0 0 0 0 0 0.667 0 0.667 0.333 0 0 0 0 1.333 0 0 0 0 0 0 0 0 0.333 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0 0.333 0 0 0 0 0 0 0 0 0 0 0 0 2.667 0.333 0.667 0 0 0.333 0.333 0 0.667 0 0 0.333 0 0 0 0 0 0 0 0 0.333 0.333 1.333 0 3.333 0.333 0 0 0.333 0 0 0 0 0 0.333 0 0.333 0 0 0 0 0 0 0 0 0 0 0 0.333 0.333 0 0 0 0 0 0 0.333 0 0 0 1 0 0 0 0.333 0 0.333 0 0 0 0 0.333 0 0 0.333 0 3.667 0 0.333 0 0 0 0 0 0 0 3 "RNAseq"
"446" "CG9386" 0 0 0 0 2 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0.5 0 0 0 1 1.5 0.5 0 0 0 0 0 0.5 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0.5 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 6 1.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0.5 0 0 1 0 0.5 0 0.5 0 0.5 0 0 0.5 0 0 0 0.5 1.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0.5 0 2.5 0.5 0 0 0.5 0 0 0 0 0.5 2 "RNAseq"
"447" "CG9674" 0.2 0 0 0 2.6 0.6 0.4 0 0 0 0 0 0 0 0.4 0 0 0 0.6 0.4 0 0 0.6 0 2.2 1 0 0 0 0 0.8 0.2 0.2 0.2 0 0.4 0.2 0 0 0.2 1.8 0.8 0 0 0.2 0 0.2 0.2 0.2 0 0.4 0.2 0.6 0 0.6 0 1.2 0.2 0 0 0 0 0 0 0.2 0 0 0 0 0 0.2 0 0 0 0 0 1 1 7.4 1.2 0.6 0 1.8 0.4 0.2 0 0.8 0.4 0.2 0.2 0 0 0 0 0 0 0 0 1 0.8 0 0 6.8 4.8 0 0 0.6 0 0.2 0.2 0.8 0 0.2 0.2 0.2 0 0.6 0 0 0 0.4 0 0 0 0.2 0 0 0 0.2 0.2 0.2 0 0.2 0 0.2 0.2 0.2 0.2 1.6 0 0 0 0 0.4 1 0.6 0.2 0 0 0 0 0 1.4 0.2 5 4.2 0.6 0 2 0.2 0.2 0 0 0 5 "RNAseq"
"448" "CG9715" 0 0 0 0 1 2 0 0 0 0 2 0 0 1 0 0 1 0 1 0 1 0 0 0 6 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 3 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 4 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 4 3 0 0 0 0 0 0 1 0 19 1 0 0 0 0 0 0 1 0 1 "RNAseq"
"449" "CG9799" 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 2.5 0.5 0 0 0 0 2 0 0.5 0 1 2 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 1.5 0.5 5.5 1 0 0 0 0.5 0.5 0 0.5 1 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 6.5 4.5 0 0.5 0.5 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 1 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0.5 2.5 0 0 0 0 0 0 0 1.5 0 3 3 0 0 1.5 0.5 0 0 0 0.5 2 "RNAseq"
"450" "Chc" 0.25 0 0 0 1.5 1.25 0 0 0 0 0 0 0.25 0.25 1.5 0.25 0 0 0.75 0 0.25 0 0.5 0 0.75 2 0 0 0.25 0 0.25 0 0.25 0 0.5 0 0 0 0 0 2 0.25 0 0 0.25 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.25 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 6.5 1 0.5 0.25 0.5 1 0 0 1.25 0.25 0 0 0.25 0 0 0 0 0 0 0 0.5 0.5 0 0 3.5 1.25 0 0 0.25 0.25 0.25 0 0.25 0 0 0 0 0.25 0.25 0 0.5 0 0.25 0 0.25 0 0 0 0.25 0 0.5 0 0.25 0 0 0 0 0.25 0.25 0 3.25 0.25 0.25 0 0 0.25 0.5 0.25 0 0 0.25 0 0 0 1.25 0 7.75 7 0.25 0 1 0 0 0 0 0.25 4 "RNAseq"
"451" "cher" 0.143 0 0 0 1.571 0.429 1.286 0 0.286 0 0.286 0 0 0 0 0 0.286 0 1.143 0.429 0.286 0 0.714 0 1.714 1.286 0 0.143 0.286 0 1.286 0 0.143 0.286 0.571 0.714 0 0 0.286 0 1.143 0 0 0 0.286 0 0 0 0 0 0 0 0 0 0.143 0 0.714 0 0.429 0 0.143 0 0 0 0 0.143 0 0 0 0 0 0 0 0 0 0 1 0.143 6 0.286 0.857 0.143 0.714 0.286 0.286 0 1.714 0.286 0 0 0 0 0.286 0 0 0 0 0.143 0.143 0 0 0 8.857 1.429 0 0 0.286 0.143 0.714 0 0.143 0 0 0.143 0.286 0 0.429 0.143 0 0 1.143 0 0 0 0.571 0.143 0.286 0 0.429 0 0.571 0 0.429 0 0 0.143 0.143 0 0.857 0 0.714 0 0.143 0.571 1.714 0.571 0 0 0 0 0 0 2.143 0 6.286 0.286 0.143 0 1.857 0.286 0 0 0.429 0.143 7 "RNAseq"
"453" "chif" 0 0 0.25 0 4.25 0.5 0 0 0 0 0.25 0 0 0 0 0.25 0 0 1.25 0 0.25 0 0 0 1.75 1.5 0 0.25 0.25 0.25 0.75 0 0 0 0.75 1 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 4.25 0.5 0.5 0 0.75 0.5 0 0.25 1.75 0.5 0 0 0 0 0.5 0 0 0 0.25 0 0.25 0.25 0 0 6.5 1.5 0 0 0.75 0 0.75 0.25 0.5 0 0 0 0.5 0 0 0 0 0 0.25 0 0 0 0.25 0 0 0 0.75 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0.25 0 1.25 1 0 0 0 0 0 0 0.75 0 4.25 0.75 0.25 0 1 0.5 0 0 0 0 4 "RNAseq"
"454" "CHMP2B" 0 0 0 0 2 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 1 0.5 0 0 0.5 0 3.5 0 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0.5 1 0 0 0.5 0.5 0 0.5 0 0 0.5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.5 1 6 0.5 0.5 0 1 0.5 0 0 1 0.5 0 0 0 0 0 0 0 0 0 0 1.5 1.5 0 0 6 4 0 0 0.5 0 0.5 0 1.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 2 0 1 1.5 1 0 0 0.5 0 0.5 0 0 0 0 1 0 0.5 0 0 0.5 2 2.5 0 0 0 0 0 0 2.5 0 7.5 2 0 0 2 0.5 0 0 0.5 0 2 "RNAseq"
"455" "chn" 0.2 0 0.4 0 0.4 0 0.6 0 0 0 0.2 0 0 0 0.6 1 0.2 0 0 0 0 0 0.2 0 0.6 1 0.4 0 0 0 0.6 0.2 0 0 3.8 1.6 0 0 0.2 0 0.6 0 0 0 0 0 0.2 0.2 0.4 0 0.4 0 0 0 0 0 0.6 0 0.2 0 0 0 0.2 0 0.2 0.2 0.2 0 0 0 0 0 0 0 0.2 0 0.8 0 4.8 0.6 0.4 0.2 0.2 0.4 0.2 0 0.2 0.4 0 0 0.2 0 0 0 0 0 0.2 0 0.6 0.8 0 0 5.2 2.2 0.2 0 0 0 0.4 0.2 0 0.4 0.4 0 0 0 0.2 0 0 0 0.2 0 0.2 0.2 0.6 0 0.6 0 1.8 0 0 0 0 0 0.4 0 0 0 0.8 0 1 0.2 0.2 0 0.8 0.6 0 0 0 0 0 0 0.6 0.4 3.6 0.4 0.2 0 0.6 0.2 0.2 0 0 0 5 "RNAseq"
"456" "chrb" 0 0 0 0 0 1.5 0 0 0 0 0.5 0 0 0 0.5 0 0 0 2 0.5 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0.5 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 3.5 1.5 0 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 1 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0.5 0 2.5 1.5 0.5 0 0.5 0 0 0 0 0 2 "RNAseq"
"457" "Cht6" 0 0 0.5 0 3.5 0 7 0.5 0 0 0.5 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 3 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 3 0.5 0 0 0.5 0 0 0 0 0 1 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 12.5 0.5 1 0 2 1 0 0 2.5 0.5 0 0 0 0 0 0 0 0 0 0 1 0 1 0 10 2 0 0 0.5 0 1.5 0 1 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0 0.5 0 1 0 0 0 3 0 5 0 0 0 0.5 0 0 0 0 0 0 0 1 0 16.5 9 0.5 0 0.5 0 0 0 0.5 0 2 "RNAseq"
"458" "cib" 0.25 0 0 0 2.75 1.5 0 0 0 0 0.25 0 0.25 0 0.5 0 0 0 0.25 0.25 0 0 0 0 3.25 1.25 0.25 0 0.25 0 0.5 0 0.25 0 1.25 1 0 0 0.25 0 0.5 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0.5 0.25 0.25 0 0 0 0.25 0 0 0 0.25 0 0.25 0 5.75 0.25 0.25 0 0.5 1 0 0 0.75 0.25 0 0 0 0 0 0 0 0 0.25 0 0.75 0.75 0 0 7 1.75 0 0 0.25 0 0.5 0 1 0.25 0 0 0.25 0 0.25 0 0 0 0.25 0 0 0 0.25 0.5 0.25 0 0.75 0.25 0.25 0 0.25 0 0 0 0.25 0 0.75 0 0 0 1 0 0.75 0.75 0 0 0 0 0 0 1 0 4 1.25 0.25 0 0.75 0.25 0 0 0.25 0 4 "RNAseq"
"459" "cindr" 0.429 0 0 0 1 0.429 0 0 0.143 0 0.143 0 0.286 0 0.286 0 0 0 2 0 0 0 0 0 2.429 0.857 0.286 0 0 0.143 0.286 0 0.143 0 0.143 0.429 0.143 0 0 0 1.571 0.286 0 0.286 0.286 0 0 0 0.143 0 0 0 0.143 0 0.571 0.143 0.286 0.143 0 0.143 0 0 0 0 0 0.143 0 0 0 0 0 0 0 0 0 0 0.714 0 4 0.571 0.714 0 0.286 0.571 0.429 0 0.714 0.286 0 0 0 0 0 0 0 0 0 0.143 0.143 0.429 0 0 4 2.143 0.143 0 0.286 0.143 0.429 0.286 0.714 0 0 0 0.143 0 0.429 0 0 0 0 0 0 0 0.571 0 0 0 0 0 0.286 0 0 0 0.571 0 0 0.143 1.286 0.286 0 0 0.286 0 0.857 0.571 0 0 0 0 0 0 0.714 0 7 1.143 0.286 0.286 0.857 0 0.143 0 0 0.143 7 "RNAseq"
"460" "clt" 0 0 0.5 0 5 0 0 0 1 0 0 0 0.5 0 0 0 0 0 4 0 1 0 0 0 3 3.5 0.5 0 2 0 1.5 0.5 1.5 0 1.5 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0.5 0 0 0 0 0 1 0 0.5 0 0 0 0 0 0 0 0 0 2 0 0.5 0 0 0 0 0 2.5 0 5 1 1.5 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 1 2 0 13 2 0 0 0.5 0 0.5 0 0 0 0.5 0.5 0.5 0.5 1.5 0 0 0 0.5 0 0 0.5 0 0 1 0.5 0 0 0.5 0 0 0 0 0 0 0 1.5 0.5 0 0 0 0 1 0.5 0 0 0.5 0 0 0 1 0 3.5 0 2 0 1 0 0 0 0 0 2 "RNAseq"
"461" "clu" 1 0 0 0 2.5 1 0 0 0.5 0 0 0 0 0 1.5 0.5 0 0 0 0 0.5 0 0 0 1 1.5 0 0 0.5 0 1.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 1.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1.5 1.5 0.5 0 0.5 0.5 0 0 0 0 1 0 0 0 0 0 1.5 0.5 0 0 5 1 0 0 0 0 1 0 0 0 0 0 0.5 0 0.5 0 1 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 1 0 3.5 1.5 0 0 1.5 0.5 0 0 0 0 2 "RNAseq"
"462" "cnn" 0.5 0 0 0 3 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 1 0 2 1.5 0 0 0 0 1 0 0 0.5 0.5 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0.5 4.5 0 0 0 0 1.5 0 0 2 0 0.5 0 0 0 0 0 0 0 0.5 0.5 1 0 0 0 4.5 1.5 0 0 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1 0.5 0 0 0 0.5 1 0 0 0 1 0 0 0 1 0 4.5 1.5 0 0 0.5 0 0 0 0 0 2 "RNAseq"
"463" "cno" 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0.5 0 0 0 1.5 2 0 0 0 0 1.5 1 0 0 0 0 0 0 0 0 3 0.5 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.5 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 5 2 0 0 0 0 0.5 0 0 0 0 0 1 0 0.5 0 0 0 0 0 0.5 0 0.5 0 0 0 1.5 0 0 0 0 0 0.5 0 0 0 1 0 0 0 0 0 0.5 1.5 0 0 0 0 0 0 0 0 3.5 0.5 1 0 0 0 0 0 0.5 0 2 "RNAseq"
"464" "Coq2" 0 0 0 0 2 0.5 0 0 0 0 0 0 0.5 0 0 0 0.5 0 1.5 0 0 0 0 0 2 0.5 1 0 0 0 2.5 0.5 1 0 3 0.5 0.5 0 0 0 2 0 0 0 2 0 0 0 0.5 0 1 0.5 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 9.5 1 1.5 0 1 0.5 0.5 0 1 0 0 0 0 0 0 0 0.5 0 0 0 0.5 1 0 0 12 1.5 0 0 0 0 1 0 1 0 0.5 0 0 0 0.5 0 0 0 1 0 0 0 3 0 1.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0 2 0 0 0 0.5 0.5 1.5 0.5 0 0 0 0 0 0 3 0 4.5 0 0.5 0 3 0.5 0.5 0 0.5 0 2 "RNAseq"
"465" "Cpsf73" 0 0 0.167 0 1 1 0.5 0 0 0 0.167 0 0.333 0 0 0 0.167 0 0.667 0 0 0 0.333 0 2.333 0.667 0.167 0 0.167 0.167 0.333 0 0.167 0 1.667 0.333 0.167 0 0 0 0.667 0 0 0 0.333 0 0 0 0.167 0 0.167 0 0.167 0 0 0 0.667 0 0.167 0 0 0 0 0 0.333 0.5 0 0 0 0 0.167 0 0 0 0.167 0 0.5 0 2.667 0.667 0.5 0.167 0.333 0.5 0.167 0 0.5 0.667 0 0 0.167 0 0 0 0 0 0.167 0 0.833 1.167 0.333 0 5.833 2.333 0 0 0.333 0 0.5 0.167 0.167 0 0 0 0.333 0.167 0.333 0 0 0 0.5 0 0.167 0 0.333 0.167 0.5 0.167 0.5 0 0.333 0 0.167 0 0.667 0 0 0 1 0 0.167 0 0.167 0.5 1.167 1.333 0 0 0 0.333 0.333 0 0.667 0 3.5 2.167 0.333 0 1 0.167 0.167 0 0.333 0 6 "RNAseq"
"466" "crc" 0.5 0 0 0 1.25 1.25 0.5 0 0.5 0 0.25 0 0 0 0.5 0.75 0 0 0.5 0.25 0.25 0 0.25 0 1 2 0 0 0.5 0 1.5 0.5 0.5 0 1.75 1 0.5 0 0 0.25 0.75 0.5 0.25 0.25 0 0 0 0 0.25 0 0.5 0 0 0 0.25 0 0.25 0.25 0.25 0 0.25 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.25 0.25 5.75 1 0.5 0 1.5 1.25 0.25 0 1.75 0.25 0 0 0.25 0 0.5 0 0 0 0 0 1 2.75 1.5 0 7 5.5 0.5 0 0 0 1 0 0 0 0 0 0.75 0 0.25 0 0 0 0.75 0 0 0.25 0.5 0.25 0.25 0 0.25 0.25 0 0 0 0 0.5 0.25 0 0 2.5 0 0 0 0 0.5 1 0.5 0 0 0.5 0 0.25 0.25 1.25 0.25 5.5 2 1 0.25 2 0.75 0.25 0 0.25 0 4 "RNAseq"
"467" "Crc" 0 0 0.333 0 2.667 0.667 0 0 0.333 0 0 0 0.667 0 0 0 0 0 1 0 0 0 0 0 5 0.667 0.333 0 0 0 0.333 0.333 0 0 0.333 0 0 0 0 0.333 0.667 0.333 0.333 0 0 0 0 0 0 0 1 0 0 0 0 0 0.333 0 0 0 0 0 0 0 0.333 0 0 0 0 0 0.333 0 0 0 0 0 0.333 0.667 4 0.333 1 0 1 0 0.333 0 1.333 0.333 0 0 0 0 0.667 0 0 0 0 0 0 0 0 0 5 2.333 0 0 0.333 0 0.667 0.333 0.333 0 0 0 0 0 0.333 0 0 0 0.667 0 0 0 1 0 0.667 0 0 0 0 0 0 0 1 0 0.333 0 1 0 0 0 0 0.333 1.667 0 0 0 0 0 0 0 1.333 0.333 7.333 1 0.667 0 0.667 0.333 0 0 0.333 0 3 "RNAseq"
"468" "crn" 0.5 0 1 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 1 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 1 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 1.5 2.5 0 0 0.5 0 0 0.5 0 0 0 0.5 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 3.5 0.5 1 0 0 0 0 0 0 0 2 "RNAseq"
"469" "crq" 0.5 0 0.5 0 2.5 0 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 1 0.5 0 0 0 0 3 0 0 0 1 0 0 0 0.5 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 1.5 0 5.5 1 0 0 0 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.5 0.5 0 0 0.5 0 1 0 1 0 0 0.5 0 0 0.5 0 0 0 0.5 0 1 0 0.5 0 1.5 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 6 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 3 0.5 0 0 0 0 2 "RNAseq"
"470" "CSN3" 0.5 0 0 0 1.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 2 0.5 0 0 0 0 0 0 0 0 1.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0.5 3.5 0 0 0 2 0.5 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0.5 0.5 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0.5 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 5.5 0 0.5 0 0.5 0 0 0 0 0 2 "RNAseq"
"471" "CTPsyn" 0.333 0 0 0 0.333 1.667 1 0 0.333 0 0 0 1 0 2 0 0 0 2.333 0 0 0 0 0 0.667 0.333 0.333 0 0.667 0 0.333 0 0.333 0 1.667 0.333 0 0 0.333 0 0.333 0.333 0.333 0 0 0 0 0 0 0 0.667 0 0 0 0.333 0 0 0 0.333 0 0 0 0 0 0.667 0 0 0 0 0 0 0 0 0 0 0 0 0.667 1.667 0 0.333 0 0.333 0 0.333 0.333 0 0 0 0 0 0 0 0 0.333 0 0 0.333 0 0 0 0 4 2.667 0 0 0 0 0 0 0.333 0 0 0 0 0 0 0.333 0 0 0 0 0 0 0.333 0 0.333 0 1.667 0 0 0 0 0 0.333 0 0 0 0.333 0 1 0 1.333 0 1.667 0 0 0 0.333 0 0 0 0.667 0 2 1 0 0 0.667 0 0 0 0.667 0.333 3 "RNAseq"
"472" "cue" 0.5 0 0 0 1.5 0 0 0 0.5 0 1 0 0 0 0.5 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 0 1 0 1 0 0 0.5 0 0 0 0 0 0 1.5 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 1 1.5 0 0 4.5 2.5 0.5 0 0.5 0.5 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0.5 0.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0.5 0 0 1.5 0 0 0 0 0 0 1 0 5.5 3 0 0 0.5 0.5 0 0 0 0 2 "RNAseq"
"473" "Cul-5" 0 0 0 0 2 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 15 0 0 0 3 1 1 0 0 0 1 "RNAseq"
"474" "cv" 0 0 0 0 0 0.5 5.5 0 0 0 0 0 0 0.5 0 0 0 0.5 1.5 0 0 0 1 0 3 0.5 0 0 0.5 0 0 1 0.5 0 0 1 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 1 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 6 1 1.5 0 1 0.5 0.5 0 2 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 4 0 0 0 0 0.5 0 0 0 0 0 0 0 2 0.5 0 0 0 0 0 0 1.5 0.5 1 0 0 0 0 0 0 0 0 0 0 0 0.5 0 6.5 0 0 0 1 0.5 0 0 0 0 0 0 0.5 0 4 0.5 0.5 0 0 0.5 0 0 0 0 2 "RNAseq"
